(40.78869365184514, -73.95553014813513)
(40.78864773942619, -73.95542449688371)
(40.78872147620804, -73.95517077220771)
(40.78887731668864, -73.95595445661098)
(40.78883097466952, -73.95584737060295)
(40.78878521327487, -73.9557417195251)
(40.78873975428299, -73.9556366065108)
(40.78880827853332, -73.95510422435841)
(40.78888327986351, -73.95504897706986)
(40.78897460322651, -73.95616656565599)
(40.78892451391028, -73.95606226005324)
(40.78915443225813, -73.95575675427163)
(40.78919554651727, -73.9556154243496)
(40.78921796976423, -73.95554865727048)
(40.78896230433423, -73.95499077008805)
(40.78916615750192, -73.95658333907119)
(40.78912103301371, -73.95647580497936)
(40.78907254902943, -73.95637060267813)
(40.78924795051242, -73.95613666019128)
(40.78921596408716, -73.95600396627451)
(40.78918171509436, -73.95588403561729)
(40.78917108304307, -73.95569862377472)
(40.78924591634376, -73.95549261451981)
(40.78930306752826, -73.95539662905033)
(40.78904045144324, -73.95493328058647)
(40.78911844772957, -73.95487579106779)
(40.7893012021806, -73.95690522349683)
(40.78925677239931, -73.95679939362508)
(40.78921176176019, -73.9566921287128)
(40.78936450001333, -73.95639781919708)
(40.78930701678906, -73.9562850679119)
(40.78927752379244, -73.9562218897035)
(40.78922978320834, -73.95606350287589)
(40.78920017530315, -73.95594336388041)
(40.78915957665487, -73.95581613118692)
(40.78933527853133, -73.95534060858306)
(40.7894083539576, -73.95522785286298)
(40.78919917624522, -73.95481632841192)
(40.78923957233031, -73.95478682129533)
(40.78943662881909, -73.95728594149645)
(40.78938116373896, -73.95715760060096)
(40.78934024104897, -73.95701446138837)
(40.7894725951851, -73.95654823768625)
(40.78943020858696, -73.95650488691288)
(40.78939073726127, -73.95644630015906)
(40.7894384903932, -73.95518013762202)
(40.78950012897984, -73.95507662317303)
(40.78932214424557, -73.95472655142618)
(40.78940506708953, -73.95466610216351)
(40.78956641701292, -73.95757174628514)
(40.78955368775985, -73.95739822849926)
(40.78939646382623, -73.95718943919584)
(40.78937544173328, -73.9571253135698)
(40.78961904459244, -73.95665124305984)
(40.78956922915046, -73.95662217915358)
(40.78951563604343, -73.95658690629695)
(40.78933647597839, -73.9563437932775)
(40.7893731631131, -73.95528054633344)
(40.78958113429153, -73.95499847633492)
(40.78961818640288, -73.95495786625558)
(40.78948775100714, -73.95460556319458)
(40.78970112497448, -73.95791266715948)
(40.78965614716018, -73.9578082728142)
(40.78961164910861, -73.95770513401557)
(40.78966917445839, -73.95753673855799)
(40.78965463026631, -73.95738343029575)
(40.78976118880753, -73.9573593944234)
(40.78971947661138, -73.95670256293164)
(40.78967647736554, -73.95668427456393)
(40.79169595300279, -73.95560566452899)
(40.7895406761723, -73.95503999982549)
(40.78965783276485, -73.95491544388855)
(40.7897162754436, -73.9548620695618)
(40.78976462431091, -73.9548187404388)
(40.78965153398139, -73.9544834089506)
(40.78983497160141, -73.95822297991434)
(40.78979091563212, -73.95812082788048)
(40.78974606440382, -73.95801679239094)
(40.7899061954932, -73.95753509735702)
(40.78972507844036, -73.95752471090735)
(40.78986363172064, -73.9573196634786)
(40.78980982420843, -73.95672689558465)
(40.7897640000238, -73.95671594405269)
(40.78982364019123, -73.95477596580544)
(40.78973264824724, -73.95442295961185)
(40.78980797203064, -73.95436681525356)
(40.78999861447809, -73.95864270851158)
(40.78996079307512, -73.95853248500036)
(40.78992074566432, -73.95842620759271)
(40.78987838417352, -73.95832378660944)
(40.79007920485341, -73.95764476189682)
(40.78999718588571, -73.95756695180931)
(40.78995182405467, -73.95754779331637)
(40.78995912384419, -73.95727078453979)
